id_tanaman,nama_daun,harga,butuh,satuan,nama_toko,url
6,Kunyit segar,11000,250,gram,irwan_buck,https://shopee.co.id/Kunyit-segar-i.21246423.10235995026
7,Daun lidah buaya / Pelepah Lidah Buaya bebas Kimia,13000,500,gram,Blisfull Shop,https://www.tokopedia.com/blisfull/daun-lidah-buaya-pelepah-lidah-buaya-bebas-kimia
7,Daun lidah buaya/Pelepah - 10 Kg Dst,10000,1,kg,djoeragan_id,https://www.tokopedia.com/djoeraganid/daun-lidah-buaya-pelepah-10-kg-dst
7,tanaman lidah buaya,10000,500,gram,Naya Tanaman,https://www.tokopedia.com/nayatanaman/tanaman-lidah-buaya
7,Lidah Buaya / Aloevera / Tanaman Lidah Buaya,4000,250,gram,Pempek Tina Bekasi,https://www.tokopedia.com/pempektinabekasi/lidah-buaya-aloevera-tanaman-lidah-buaya
7,Tanaman Lidah buaya / aloevera ( ukuran 20 - 30cm ),38000,1000,gram,Budi Grosir,https://www.tokopedia.com/budigrosir/tanaman-lidah-buaya-aloevera-ukuran-20-30cm
7,Tanaman lidah buaya,45000,1000,gram,sanggar tanaman hias,https://www.tokopedia.com/stanaman/tanaman-lidah-buaya
7,PELEPAH LIDAH BUAYA JUMBO ORGANIK - Besar 2 buah,16900,500,gram,Ahoi Shop,https://tokopedia.link/BsnTsoYLypb
7,Pelepah Batang Aloevera Lidah Buaya,13500,950,gram,Herbavera Indonesia,https://tokopedia.link/PZrYq8VLypb
7,Pelepah LIdah Buaya / daun lidah buaya ( DIJAMIN BEBAS PEPTISIDA ),12500,500,gram,Kemanggian Store,https://tokopedia.link/Fqx7D7RLypb
7,Bibit Lidah Buaya Pontianak / Kalimantan - Bibit 15-20cm,9800,400,gram,@LOVERA,https://tokopedia.link/Ai9s8lOLypb
7,Pelapah Lidah Buaya Alami & Termurah,10000,400,gram,Hobbytamanlandscape II,https://tokopedia.link/8z8nYcLLypb
7,Pelepah lidah buaya / Daun Lidah buaya,13000,400,gram,kemanggisanstore,https://shopee.co.id/Pelepah-lidah-buaya-Daun-Lidah-buaya-i.1257104.453052337
7,Pelepah lidah buaya daun lidah buaya 500 gram fresh,25000,500,gram,storetr18,https://shopee.co.id/Pelepah-lidah-buaya-daun-lidah-buaya-500-gram-fresh-i.337951264.4979354441
7,PELEPAH GEL LIDAH BUAYA JUMBO PONTIANAK TERLARIS,24000,350,gram,vanessaangelstore.id,https://shopee.co.id/PELEPAH-GEL-LIDAH-BUAYA-JUMBO-PONTIANAK-TERLARIS-i.127170331.2027932323
7,Pelepah Lidah Buaya Alami,7500,200,gram,meme_shop17,https://shopee.co.id/Pelepah-Lidah-Buaya-Alami-i.216845853.6857031743
7,Daun lidah buaya grade a 1000 gram,130000,1000,gram,dikas_garden,https://shopee.co.id/Daun-lidah-buaya-grade-a-1000-gram-i.18445009.197611266
7,pelepah lidah buaya/daun lidah buaya dijamin bebas (peptisida,10000,550,gram,marissajuv55,https://shopee.co.id/pelepah-lidah-buaya-daun-lidah-buaya-dijamin-bebas-(peptisida-i.117045268.9802909418
7,300gr lidah buaya segar,3430,300,gram,nandar_fashion27,https://shopee.co.id/300gr-lidah-buaya-segar-i.370451906.17619017201?sp_atk=cbcaf60a-6e16-4420-9c4f-c512291e228d
7,Pelepah Lidah Buaya ALAMI. TANPA PESTISIDA,8600,350,gram,alaheuy,https://shopee.co.id/Pelepah-Lidah-Buaya-ALAMI.-TANPA-PESTISIDA-i.13756680.5666428861
